0
SPY
QQQ
XLK
AMD
NVDA
INTC
BA
MO
PM
BUD
RBLX
DOCN
DBX
DKNG
SKLZ
SQ
PLTR
WORK
SNOW
WKHS
CGC
CRON
ARKF
ARKW
RIOT
MGM
CCL
EBAY
